Well.names,Area,Drug
D07,121,20(S
D09,242,20(S
D07,396,20(S
D08,688,20(S
D08,405,20(S
D07,182,20(S
D07,588,20(S
D07,134,20(S
D09,173,20(S
D08,1154,20(S
D07,401,20(S
D09,370,20(S
D08,458,20(S
D07,514,20(S
D09,378,20(S
D08,362,20(S
D08,538,20(S
D07,209,20(S
D07,441,20(S
D08,238,20(S
D09,360,20(S
D07,499,20(S
D09,249,20(S
D09,118,20(S
D07,304,20(S
D09,436,20(S
D09,244,20(S
D07,396,20(S
D09,276,20(S
D08,118,20(S
D08,534,20(S
D09,712,20(S
D08,4292,20(S
D07,394,20(S
D09,121,20(S
D08,295,20(S
D07,134,20(S
D08,643,20(S
D08,124,20(S
D07,213,20(S
D07,163,20(S
D09,721,20(S
D09,118,20(S
D08,837,20(S
D07,2079,20(S
D09,232,20(S
D08,174,20(S
D07,713,20(S
D08,69,20(S
D09,134,20(S
D09,282,20(S
D07,157,20(S
D09,790,20(S
D07,277,20(S
D07,482,20(S
D07,245,20(S
D09,99,20(S
D09,445,20(S
D08,432,20(S
D07,554,20(S
D09,376,20(S
D09,2986,20(S
D07,91,20(S
D09,131,20(S
D09,389,20(S
D09,350,20(S
D08,656,20(S
D07,215,20(S
D07,302,20(S
D08,883,20(S
D09,239,20(S
D09,3245,20(S
D07,193,20(S
D08,1260,20(S
D07,402,20(S
D09,184,20(S
D09,543,20(S
D09,189,20(S
D09,138,20(S
D07,158,20(S
D09,166,20(S
D08,852,20(S
D09,185,20(S
D08,1539,20(S
D09,353,20(S
D07,579,20(S
D09,141,20(S
D09,474,20(S
D09,324,20(S
D09,469,20(S
D07,472,20(S
D09,356,20(S
D08,930,20(S
D07,309,20(S
D09,428,20(S
D09,162,20(S
D08,448,20(S
D09,486,20(S
D09,448,20(S
D09,107,20(S
D08,335,20(S
D08,495,20(S
D09,320,20(S
D08,407,20(S
D08,323,20(S
D07,108,20(S
D07,545,20(S
D07,707,20(S
D09,131,20(S
D08,208,20(S
D08,595,20(S
D07,245,20(S
D08,330,20(S
D08,715,20(S
D08,863,20(S
D08,541,20(S
D09,290,20(S
D09,479,20(S
D09,538,20(S
D08,255,20(S
D07,608,20(S
D07,412,20(S
D09,896,20(S
D08,345,20(S
D07,181,20(S
D07,528,20(S
D09,267,20(S
D07,580,20(S
D08,351,20(S
D07,1376,20(S
D07,254,20(S
D09,258,20(S
D09,433,20(S
D08,1084,20(S
D08,369,20(S
D09,132,20(S
D07,105,20(S
D07,194,20(S
D07,579,20(S
D09,328,20(S
D07,633,20(S
D09,467,20(S
D09,160,20(S
D08,143,20(S
D08,287,20(S
D09,216,20(S
D09,543,20(S
D08,910,20(S
D07,428,20(S
D09,234,20(S
D07,500,20(S
D09,189,20(S
D08,292,20(S
D08,360,20(S
D09,2099,20(S
D08,441,20(S
D09,176,20(S
D07,232,20(S
D08,217,20(S
D07,165,20(S
D09,530,20(S
D09,189,20(S
D09,822,20(S
D07,440,20(S
D08,525,20(S
D09,318,20(S
D07,845,20(S
D07,93,20(S
D09,139,20(S
D09,382,20(S
D09,96,20(S
D09,296,20(S
D07,498,20(S
D09,182,20(S
D07,646,20(S
D08,190,20(S
D07,217,20(S
D09,349,20(S
D09,608,20(S
D08,163,20(S
D07,101,20(S
D09,1909,20(S
D07,463,20(S
D07,397,20(S
D08,357,20(S
D07,796,20(S
D08,813,20(S
D07,98,20(S
D08,903,20(S
D09,505,20(S
D09,460,20(S
D07,399,20(S
D07,668,20(S
D08,59,20(S
D09,1316,20(S
D07,216,20(S
D07,1468,20(S
D07,188,20(S
D07,131,20(S
D09,186,20(S
D08,359,20(S
D09,312,20(S
D07,284,20(S
D08,958,20(S
D07,70,20(S
D09,323,20(S
D08,1269,20(S
D07,799,20(S
D08,210,20(S
D08,1009,20(S
D07,1031,20(S
D09,169,20(S
D09,128,20(S
D07,93,20(S
D07,738,20(S
D09,1827,20(S
D07,273,20(S
D07,606,20(S
D07,309,20(S
D07,544,20(S
D08,361,20(S
D08,512,20(S
D09,72,20(S
D07,433,20(S
D09,202,20(S
D09,343,20(S
D08,582,20(S
D09,300,20(S
D07,885,20(S
D09,292,20(S
D07,401,20(S
D07,1279,20(S
D08,304,20(S
D09,263,20(S
D08,520,20(S
D09,301,20(S
D07,197,20(S
D09,352,20(S
D07,777,20(S
D07,427,20(S
D07,59,20(S
D09,122,20(S
D09,241,20(S
D09,240,20(S
D08,108,20(S
D08,423,20(S
D08,190,20(S
D07,549,20(S
D08,315,20(S
D09,139,20(S
D09,148,20(S
D09,234,20(S
D07,1017,20(S
D08,455,20(S
D09,73,20(S
D09,237,20(S
D07,1490,20(S
D07,58,20(S
D08,178,20(S
D08,547,20(S
D08,398,20(S
D07,608,20(S
D09,482,20(S
D08,98,20(S
D07,569,20(S
D07,310,20(S
D07,715,20(S
D09,51,20(S
D09,535,20(S
D09,401,20(S
D07,204,20(S
D09,710,20(S
D07,1094,20(S
D09,700,20(S
D09,88,20(S
D07,251,20(S
D07,139,20(S
D08,437,20(S
D09,439,20(S
D07,363,20(S
D07,297,20(S
D08,535,20(S
D09,123,20(S
D08,112,20(S
D08,468,20(S
D09,1025,20(S
D08,131,20(S
D08,352,20(S
D08,517,20(S
D07,404,20(S
D08,685,20(S
D09,643,20(S
D08,451,20(S
D07,292,20(S
D07,408,20(S
D08,351,20(S
D09,546,20(S
D09,1178,20(S
D09,562,20(S
D08,490,20(S
D07,583,20(S
D09,1278,20(S
D09,336,20(S
D09,70,20(S
D07,237,20(S
D08,494,20(S
D07,178,20(S
D08,684,20(S
D07,556,20(S
D08,420,20(S
D08,304,20(S
D07,124,20(S
D09,275,20(S
D09,232,20(S
D07,469,20(S
D07,531,20(S
D09,3270,20(S
D09,1584,20(S
D07,564,20(S
D08,157,20(S
D08,981,20(S
D09,1080,20(S
D09,603,20(S
D09,451,20(S
D08,625,20(S
D07,645,20(S
D07,201,20(S
D09,292,20(S
D09,164,20(S
D07,543,20(S
D08,296,20(S
D09,306,20(S
D07,561,20(S
D08,244,20(S
D09,148,20(S
D08,640,20(S
D09,211,20(S
D09,83,20(S
D09,436,20(S
D07,328,20(S
D09,764,20(S
D08,761,20(S
D09,72,20(S
D08,1254,20(S
D09,194,20(S
D09,534,20(S
D09,352,20(S
D07,381,20(S
D07,106,20(S
D07,562,20(S
D09,313,20(S
D08,576,20(S
D07,60,20(S
D08,637,20(S
D07,159,20(S
D09,189,20(S
D09,610,20(S
D07,485,20(S
D07,283,20(S
D07,227,20(S
D09,101,20(S
D07,589,20(S
D08,250,20(S
D08,149,20(S
D09,245,20(S
D09,2272,20(S
D07,81,20(S
D08,58,20(S
D07,1234,20(S
D08,51,20(S
D07,86,20(S
D08,285,20(S
D09,1231,20(S
D08,1020,20(S
D07,566,20(S
D08,736,20(S
D07,281,20(S
D07,499,20(S
D07,285,20(S
D08,70,20(S
D07,287,20(S
D08,556,20(S
D07,73,20(S
D09,319,20(S
D07,901,20(S
D09,173,20(S
D07,2223,20(S
D09,205,20(S
D09,629,20(S
D07,444,20(S
D09,246,20(S
D09,149,20(S
D08,403,20(S
D07,263,20(S
D07,339,20(S
D07,649,20(S
D09,260,20(S
D07,422,20(S
D07,401,20(S
D09,217,20(S
D09,818,20(S
D08,130,20(S
D08,93,20(S
D08,445,20(S
D07,630,20(S
D07,1427,20(S
D07,282,20(S
D07,337,20(S
D08,269,20(S
D07,223,20(S
D09,263,20(S
D09,336,20(S
D09,643,20(S
D09,1199,20(S
D07,372,20(S
D08,320,20(S
D09,163,20(S
D08,337,20(S
D09,248,20(S
D07,615,20(S
D08,1003,20(S
D09,911,20(S
D08,499,20(S
D09,258,20(S
D09,412,20(S
D08,788,20(S
D09,419,20(S
D07,242,20(S
D08,137,20(S
D09,214,20(S
D08,1243,20(S
D08,113,20(S
D08,1330,20(S
D09,634,20(S
D07,1136,20(S
D07,226,20(S
D09,59,20(S
D07,153,20(S
D07,1282,20(S
D08,446,20(S
D07,396,20(S
D09,169,20(S
D08,2001,20(S
D08,340,20(S
D08,468,20(S
D09,3808,20(S
D09,337,20(S
D09,947,20(S
D09,254,20(S
D08,442,20(S
D09,416,20(S
D07,115,20(S
D07,748,20(S
D08,393,20(S
D08,65,20(S
D09,1180,20(S
D07,56,20(S
D08,247,20(S
D08,262,20(S
D07,262,20(S
D07,411,20(S
D08,356,20(S
D08,379,20(S
D08,755,20(S
D07,119,20(S
D08,310,20(S
D07,1085,20(S
D09,88,20(S
D07,577,20(S
D08,505,20(S
D08,1114,20(S
D09,394,20(S
D09,187,20(S
D09,95,20(S
D07,227,20(S
D07,564,20(S
D08,437,20(S
D07,54,20(S
D07,564,20(S
D09,284,20(S
D07,76,20(S
D07,380,20(S
D08,451,20(S
D09,432,20(S
D09,138,20(S
D08,408,20(S
D09,60,20(S
D07,299,20(S
D08,261,20(S
D09,264,20(S
D09,834,20(S
D07,505,20(S
D07,388,20(S
D08,818,20(S
D09,472,20(S
D07,476,20(S
D09,466,20(S
D07,604,20(S
D09,78,20(S
D08,195,20(S
D09,332,20(S
D09,479,20(S
D08,615,20(S
D09,824,20(S
D07,335,20(S
D09,275,20(S
D07,521,20(S
D08,387,20(S
D07,344,20(S
D08,281,20(S
D08,651,20(S
D09,423,20(S
D08,602,20(S
D09,471,20(S
D07,541,20(S
D07,76,20(S
D07,222,20(S
D09,156,20(S
D07,850,20(S
D07,475,20(S
D08,164,20(S
D08,1181,20(S
D07,260,20(S
D07,391,20(S
D09,413,20(S
D09,55,20(S
D07,220,20(S
D09,229,20(S
D07,1002,20(S
D07,169,20(S
D08,1544,20(S
D07,193,20(S
D08,542,20(S
D07,473,20(S
D08,739,20(S
D09,450,20(S
D08,271,20(S
D07,610,20(S
D08,213,20(S
